date,province,total_cases,new_cases,incidence,incidence_trend
2020-03-18,Pavia,978,94.0,17.395295127836913,15.121745916599869
2020-03-18,Cremona,2167,94.0,26.4113197792688,46.88209954739507
2020-03-18,Mantova,514,49.0,12.041708546418329,20.397179782708598
2020-03-18,Lecco,466,26.0,7.762097677042999,22.64655970609798
2020-03-18,Lodi,1445,27.0,11.872724394491055,26.1953760449882
2020-03-18,Monza e della Brianza,401,25.0,2.872925891152882,14.118378665094163
2020-03-19,Varese,310,45.0,5.085458301502132,3.261151037788668
2020-03-19,Como,338,52.0,8.700861050595506,7.840336331305841
2020-03-19,Sondrio,155,80.0,44.33975336012194,12.668500960034837
2020-03-19,Milano,3278,634.0,19.416125858145296,14.638656404090616
2020-03-19,Bergamo,4645,340.0,30.682431420253653,36.09697814147489
2020-03-19,Brescia,4247,463.0,36.87958854167911,32.362094974555816
2020-03-19,Pavia,1011,33.0,6.1068589278576395,15.438985341423644
2020-03-19,Cremona,2286,119.0,33.43560695460624,44.27307859655545
2020-03-19,Mantova,636,122.0,29.981396789041558,19.870574452690306
2020-03-19,Lecco,530,64.0,19.106701974259693,22.51861304109178
2020-03-19,Lodi,1528,83.0,36.49763424973177,28.394028710634693
2020-03-19,Monza e della Brianza,495,94.0,10.802201350734837,12.821457834230861
2020-03-20,Varese,338,28.0,3.164285165379104,3.535604342949101
2020-03-20,Como,380,42.0,7.027618540865602,8.629150657321368
2020-03-20,Sondrio,163,8.0,4.433975336012193,12.826857222035274
2020-03-20,Milano,3804,526.0,16.10864700533821,14.625531488008049
2020-03-20,Bergamo,5154,509.0,45.933404685026794,34.94960990769229
2020-03-20,Brescia,4648,401.0,31.94106912573072,33.98930298487983
2020-03-20,Pavia,1105,94.0,17.395295127836913,16.998745846807196
2020-03-20,Cremona,2392,106.0,29.782977623430774,41.904890348870246
2020-03-20,Mantova,723,87.0,21.380176398742748,21.16953426673543
2020-03-20,Lecco,676,146.0,43.58716387877992,23.371590807799798
